Location,Complex,Area(m²),Price(₩10k),Built_Year,Contract_Date,Floor,Station,Phase
하상동,연꽃마을대우삼호아파트,59.88,19500,1999,2017-02-24,11,UnjeongCentral,Before
하상동,연꽃마을금호,84.84,24700,1999,2017-02-16,18,UnjeongCentral,Before
논곡동,황제,50.31,14300,1986,2017-02-21,3,UnjeongCentral,Before
하상동,연꽃마을대우삼호아파트,59.88,18700,1999,2017-02-15,13,UnjeongCentral,Before
정왕동,주공6,59.98,18950,1998,2017-02-18,4,UnjeongCentral,Before
은행동,대우2차,56.28,20700,1997,2017-02-23,12,UnjeongCentral,Before
대야동,영남2,37.47,13300,1987,2017-02-16,5,UnjeongCentral,Before
거모동,보우,59.82,13600,1995,2017-02-28,18,UnjeongCentral,Before
포동,태현아파트3차,57.18,12800,1992,2017-02-14,1,UnjeongCentral,Before
하상동,연꽃마을태평2,84.754,24100,2003,2017-02-23,5,UnjeongCentral,Before
하상동,연꽃마을금호,84.85,26200,1999,2017-02-20,14,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,33300,2004,2017-02-14,1,UnjeongCentral,Before
조남동,세우,45.525,11500,1986,2017-02-16,4,UnjeongCentral,Before
도창동,에이스,84.985,23200,1997,2017-02-15,2,UnjeongCentral,Before
신천동,명성1,40.23,9500,1984,2017-02-17,1,UnjeongCentral,Before
도창동,에이스,84.99,24300,1997,2017-02-15,5,UnjeongCentral,Before
정왕동,건영5,84.92,24800,2002,2017-02-28,7,UnjeongCentral,Before
장현동,장현I엔플러스빌,59.465,17800,2004,2017-02-16,14,UnjeongCentral,Before
장현동,장현I엔플러스빌,35.06,10500,2004,2017-02-09,15,UnjeongCentral,Before
장현동,새재마을대동,59.96,21800,1999,2017-02-25,5,UnjeongCentral,Before
정왕동,영남2,59.908,20700,1996,2017-02-21,5,UnjeongCentral,Before
장현동,새재마을대동,59.96,21700,1999,2017-02-11,5,UnjeongCentral,Before
하상동,연꽃마을대우삼호아파트,134.34,30650,1999,2017-02-25,10,UnjeongCentral,Before
조남동,세우,48.105,9500,1986,2017-02-14,6,UnjeongCentral,Before
매화동,대성102동,84.97,22000,2001,2017-02-23,9,UnjeongCentral,Before
하상동,연꽃마을대우삼호아파트,60.0,18650,1999,2017-02-15,7,UnjeongCentral,Before
목감동,대명,74.16,19250,1990,2017-02-27,10,UnjeongCentral,Before
논곡동,황제,61.11,15900,1986,2017-02-14,5,UnjeongCentral,Before
월곶동,풍림아이원1차,26.94,9600,2002,2017-02-27,9,UnjeongCentral,Before
월곶동,풍림아이원3차,84.829,25000,2005,2017-02-28,10,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,22200,2005,2017-02-23,2,UnjeongCentral,Before
대야동,현대,47.89,14200,1986,2017-02-16,2,UnjeongCentral,Before
정왕동,보성,59.89,22800,1998,2017-02-23,9,UnjeongCentral,Before
은행동,대우2차,48.664,18200,1997,2017-02-23,8,UnjeongCentral,Before
은행동,대우2차,50.884,18850,1997,2017-02-22,6,UnjeongCentral,Before
능곡동,현진에버빌,84.77,36800,2010,2017-02-26,13,UnjeongCentral,Before
정왕동,시화두산,59.97,19500,1996,2017-02-23,7,UnjeongCentral,Before
