법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
인창동,주공2,49.95,25000,1997,2017-05-30,18,장자호수공원역,개통 전
인창동,아름마을삼성,59.9807,29000,2000,2017-05-27,13,장자호수공원역,개통 전
수택동,하이스트빌,42.72,17200,2008,2017-05-16,11,장자호수공원역,개통 전
인창동,주공4-2,59.56,29000,1996,2017-05-25,8,장자호수공원역,개통 전
인창동,삼호,56.7,21900,1991,2017-05-15,11,장자호수공원역,개통 전
인창동,삼호,81.06,25500,1991,2017-05-12,8,장자호수공원역,개통 전
인창동,인창2차e-편한세상,114.829,55500,2006,2017-05-25,14,장자호수공원역,개통 전
인창동,동원베네스트,59.81,31500,2004,2017-05-23,8,장자호수공원역,개통 전
인창동,삼호,56.7,22600,1991,2017-05-08,10,장자호수공원역,개통 전
교문동,한성,71.79,34300,1990,2017-05-22,4,장자호수공원역,개통 전
수택동,수택동금호어울림,68.241,34500,2006,2017-05-11,12,장자호수공원역,개통 전
인창동,대명(610-20),56.61,20440,1989,2017-05-23,3,장자호수공원역,개통 전
교문동,장자마을금호1-1,54.556,36700,2001,2017-05-29,4,장자호수공원역,개통 전
교문동,장자마을금호1-2,54.916,37000,2001,2017-05-31,8,장자호수공원역,개통 전
교문동,장자마을금호1-1,54.978,36500,2001,2017-05-24,18,장자호수공원역,개통 전
교문동,장자마을금호1-1,54.978,38000,2001,2017-05-25,11,장자호수공원역,개통 전
인창동,신일,99.97,42300,1996,2017-05-27,17,장자호수공원역,개통 전
인창동,주공4-2,59.98,26600,1996,2017-05-01,1,장자호수공원역,개통 전
인창동,주공4-2,59.93,27700,1996,2017-05-25,9,장자호수공원역,개통 전
인창동,성원,84.99,37000,2000,2017-05-20,6,장자호수공원역,개통 전
교문동,덕현,84.57,42800,1993,2017-05-20,16,장자호수공원역,개통 전
교문동,덕현,62.1,29500,1993,2017-05-09,15,장자호수공원역,개통 전
교문동,구리(우성),101.37,49900,1994,2017-05-22,11,장자호수공원역,개통 전
인창동,주공2,84.99,36000,1997,2017-05-13,15,장자호수공원역,개통 전
수택동,대림한숲,51.66,27500,1995,2017-05-31,3,장자호수공원역,개통 전
교문동,구리(한양),84.9,42300,1994,2017-05-24,17,장자호수공원역,개통 전
인창동,원일가대라곡,84.56,42000,2005,2017-05-09,9,장자호수공원역,개통 전
인창동,인창풍림아이원,84.8682,38000,2014,2017-05-20,8,장자호수공원역,개통 전
교문동,구리두산,59.99,33800,1991,2017-05-15,4,장자호수공원역,개통 전
인창동,우방아이유쉘,84.7362,29500,2001,2017-05-25,7,장자호수공원역,개통 전
인창동,한진,84.973,28800,2002,2017-05-19,25,장자호수공원역,개통 전
인창동,주공6,39.87,23700,1996,2017-05-16,5,장자호수공원역,개통 전
교문동,한가람아파트,62.01,33800,1994,2017-05-09,14,장자호수공원역,개통 전
교문동,장자마을금호1-2,54.916,37000,2001,2017-05-08,17,장자호수공원역,개통 전
교문동,하나(유원)아파트,71.076,38800,1994,2017-05-27,19,장자호수공원역,개통 전
토평동,한일,59.784,35200,2001,2017-05-20,1,장자호수공원역,개통 전
토평동,에스케이신일,84.7406,38500,2001,2017-05-17,6,장자호수공원역,개통 전
교문동,토평신명,84.63,55500,2001,2017-05-24,13,장자호수공원역,개통 전
교문동,구리(우성),60.56,30800,1994,2017-05-09,2,장자호수공원역,개통 전
교문동,토평신명,84.63,56000,2001,2017-05-22,9,장자호수공원역,개통 전
인창동,동원베네스트,59.81,31600,2004,2017-05-31,8,장자호수공원역,개통 전
교문동,교문(동양고속),84.696,43500,1994,2017-05-27,9,장자호수공원역,개통 전
인창동,대명(610-20),56.61,19000,1989,2017-05-19,4,장자호수공원역,개통 전
교문동,구리(한양),60.44,30500,1994,2017-05-05,3,장자호수공원역,개통 전
토평동,신명스카이뷰,82.2602,32900,2006,2017-05-20,2,장자호수공원역,개통 전
수택동,럭키,59.34,24500,1992,2017-05-30,2,장자호수공원역,개통 전
교문동,교문(동양고속),134.64,51900,1994,2017-05-30,15,장자호수공원역,개통 전
인창동,주공2,84.99,37000,1997,2017-05-20,6,장자호수공원역,개통 전
수택동,대림한숲,51.66,28800,1995,2017-05-01,9,장자호수공원역,개통 전
토평동,한일,59.784,41200,2001,2017-05-30,5,장자호수공원역,개통 전
교문동,교문동금호어울림,84.962,37500,2009,2017-05-31,4,장자호수공원역,개통 전
인창동,주공4-2,59.97,28400,1996,2017-05-20,14,장자호수공원역,개통 전
인창동,주공2,84.99,34500,1997,2017-05-16,5,장자호수공원역,개통 전
토평동,삼성,99.078,54000,2001,2017-05-25,10,장자호수공원역,개통 전
인창동,동원베네스트,84.98,35000,2004,2017-05-20,20,장자호수공원역,개통 전
교문동,장자마을금호1-1,54.978,43000,2001,2017-05-20,16,장자호수공원역,개통 전
토평동,상록,84.404,47000,2002,2017-05-22,12,장자호수공원역,개통 전
수택동,금호베스트빌,134.1031,83500,2001,2017-05-23,12,장자호수공원역,개통 전
토평동,삼성,100.42,56000,2001,2017-05-13,19,장자호수공원역,개통 전
인창동,인창풍림아이원,84.9117,37000,2014,2017-05-13,2,장자호수공원역,개통 전
인창동,주공6,59.76,30750,1996,2017-05-25,16,장자호수공원역,개통 전
교문동,한성,84.99,40800,1990,2017-05-22,3,장자호수공원역,개통 전
인창동,한진,84.973,31500,2002,2017-05-22,19,장자호수공원역,개통 전
인창동,성원,84.99,36500,2000,2017-05-26,10,장자호수공원역,개통 전
인창동,한진,59.937,25200,2002,2017-05-18,10,장자호수공원역,개통 전
인창동,주공2,84.99,35000,1997,2017-05-16,4,장자호수공원역,개통 전
토평동,상록,84.404,45000,2002,2017-05-13,7,장자호수공원역,개통 전
인창동,주공4-2,59.98,29000,1996,2017-05-17,3,장자호수공원역,개통 전
인창동,주공2,84.99,34000,1997,2017-05-09,20,장자호수공원역,개통 전
인창동,주공1,59.76,28000,1996,2017-05-06,2,장자호수공원역,개통 전
인창동,주공1,37.67,21800,1996,2017-05-12,2,장자호수공원역,개통 전
수택동,대림한숲,51.66,28300,1995,2017-05-10,13,장자호수공원역,개통 전
인창동,주공2,49.95,25000,1997,2017-05-16,19,장자호수공원역,개통 전
인창동,주공6,58.14,31000,1996,2017-05-01,3,장자호수공원역,개통 전
인창동,주공2,84.99,35000,1997,2017-05-14,19,장자호수공원역,개통 전
인창동,주공2,84.99,37700,1997,2017-05-17,4,장자호수공원역,개통 전
인창동,주공1,59.93,29000,1996,2017-05-13,15,장자호수공원역,개통 전
인창동,주공1,59.93,28000,1996,2017-05-08,5,장자호수공원역,개통 전
인창동,주공4-2,59.93,28400,1996,2017-05-20,8,장자호수공원역,개통 전
수택동,금호베스트빌,134.1031,74800,2001,2017-05-26,21,장자호수공원역,개통 전
수택동,원일(552),69.885,25700,1989,2017-05-11,3,장자호수공원역,개통 전
인창동,주공4-2,59.98,29700,1996,2017-05-06,14,장자호수공원역,개통 전
인창동,주공4-2,59.93,27000,1996,2017-05-06,3,장자호수공원역,개통 전
인창동,주공6,58.14,30000,1996,2017-05-06,15,장자호수공원역,개통 전
수택동,대우A,57.07,21000,1991,2017-05-30,4,장자호수공원역,개통 전
수택동,금호베스트빌,134.1031,75000,2001,2017-05-19,20,장자호수공원역,개통 전
교문동,교문(동양고속),99.6,44000,1994,2017-05-17,5,장자호수공원역,개통 전
교문동,교문(대우),61.056,32000,1994,2017-05-16,7,장자호수공원역,개통 전
토평동,한일,59.784,40900,2001,2017-05-27,20,장자호수공원역,개통 전
교문동,한가람아파트,121.77,49600,1994,2017-05-13,5,장자호수공원역,개통 전
수택동,엘지원앙,52.08,30000,1995,2017-05-04,11,장자호수공원역,개통 전
인창동,주공2,39.86,22900,1997,2017-05-02,14,장자호수공원역,개통 전
교문동,동방,59.97,28900,1998,2017-05-01,18,장자호수공원역,개통 전
수택동,엘지원앙,49.83,27980,1995,2017-05-29,14,장자호수공원역,개통 전
수택동,엘지원앙,70.2,38800,1995,2017-05-10,5,장자호수공원역,개통 전
수택동,대림한숲,51.66,27500,1995,2017-05-13,13,장자호수공원역,개통 전
교문동,교문(동양고속),61.056,30900,1994,2017-05-12,9,장자호수공원역,개통 전
